"","Name","Description"
"150","ENSG00000204624.6","PTCHD2"
"710","ENSG00000081870.7","HSPB11"
"813","ENSG00000184005.9","ST6GALNAC3"
"1887","ENSG00000154358.15","OBSCN"
"2179","ENSG00000115207.9","GTF3C2"
"2515","ENSG00000144115.12","THNSL2"
"2776","ENSG00000182389.14","CACNB4"
"2791","ENSG00000007001.8","UPP2"
"3108","ENSG00000115657.8","ABCB6"
"3497","ENSG00000144649.4","FAM198A"
"3954","ENSG00000163884.3","KLF15"
"4616","ENSG00000084093.11","REST"
"4711","ENSG00000189157.9","FAM47E"
"5376","ENSG00000145708.6","CRHBP"
"5414","ENSG00000152422.11","XRCC4"
"5440","ENSG00000175449.9","RFESD"
"6216","ENSG00000234127.4","TRIM26"
"6323","ENSG00000241106.2","HLA-DOB"
"6462","ENSG00000221821.2","C6orf226"
"6517","ENSG00000180113.11","TDRD6"
"7334","ENSG00000188763.3","FZD9"
"8460","ENSG00000180938.5","ZNF572"
"8946","ENSG00000158169.7","FANCC"
"8985","ENSG00000119509.8","INVS"
"9163","ENSG00000160401.10","C9orf117"
"10343","ENSG00000166407.9","LMO1"
"10511","ENSG00000085117.7","CD82"
"10752","ENSG00000214756.3","METTL12"
"10987","ENSG00000110195.7","FOLR1"
"11027","ENSG00000149243.11","KLHL35"
"11423","ENSG00000111181.8","SLC6A12"
"12729","ENSG00000198542.9","ITGBL1"
"12926","ENSG00000100445.12","SDR39U1"
"13200","ENSG00000119718.6","EIF2B2"
"13551","ENSG00000166887.11","VPS39"
"16005","ENSG00000141556.16","TBCD"
"16180","ENSG00000172361.5","CCDC11"
"16312","ENSG00000129951.14","LPPR3"
"17141","ENSG00000028277.16","POU2F2"
"17408","ENSG00000062822.8","POLD1"
"17665","ENSG00000152467.5","ZSCAN1"
"17888","ENSG00000179772.6","FOXS1"
"17955","ENSG00000244005.8","NFS1"
"18267","ENSG00000171189.12","GRIK1"
"18525","ENSG00000241973.6","PI4KA"
"18831","ENSG00000186732.9","MPPED1"
"18884","ENSG00000188130.9","MAPK12"
