"","description","mse","rsq","after_lasso_mse","after_lasso_rsq","xgb_corr_mse","xgb_corr_rsq"
"ENSG00000101187.11","SLCO4A1",0.251575728637708,0.77644357089289,0.241406917962052,0.785479828147221,0.250493567129755,0.777405206435974
"ENSG00000096060.10","FKBP5",0.170835648759351,0.708337658683114,0.1714470626769,0.707293810891385,0.170081614997405,0.709624996858949
"ENSG00000077238.9","IL4R",0.175890180982523,0.809698688137945,0.176058600402085,0.80951646968603,0.176431177461224,0.80911336643872
"ENSG00000184557.3","SOCS3",0.59574281411067,0.770512382527414,0.600877170439369,0.768534563956681,0.601401282463264,0.768332669419637
"ENSG00000101276.10","SLC52A3",0.184803054948708,0.643575549548483,0.184671551740237,0.643829176085257,0.185072657674279,0.643055574360148
"ENSG00000144837.4","PLA1A",0.331217494246131,0.666970420670745,0.337420577232105,0.6607334007269,0.332491170639863,0.665689776015874
"ENSG00000197142.6","ACSL5",0.262560060904338,0.48249274504905,0.262089147863809,0.483420917117891,0.258770004481922,0.489962966104446
"ENSG00000149573.4","MPZL2",0.272342942207984,0.593989379571912,0.242881937134271,0.637910036562091,0.247682229476029,0.630753729678894
"ENSG00000243509.4","TNFRSF6B",0.270952548161337,0.714125070107299,0.269729677952704,0.715415288403946,0.271122934047632,0.713945300425745
"ENSG00000108312.10","UBTF",0.0195366233837668,0.379336058417209,0.0213633365000158,0.321302746283337,0.0237490241460558,0.245511230590459
